Week,Vermont,NY
1/2/2022,5,5
1/9/2022,17,17
1/16/2022,36,33
1/23/2022,64,54
1/30/2022,77,69
2/6/2022,85,83
2/13/2022,94,100
2/20/2022,100,96
2/27/2022,90,90
3/6/2022,87,83
3/13/2022,77,82
3/20/2022,80,82
3/27/2022,79,86
4/3/2022,85,83
4/10/2022,80,78
4/17/2022,64,71
4/24/2022,72,72
5/1/2022,73,66
5/8/2022,81,69
5/15/2022,71,71
5/22/2022,68,61
5/29/2022,65,60
6/5/2022,64,56
6/12/2022,57,52
6/19/2022,61,51
6/26/2022,59,51
7/3/2022,62,47
7/10/2022,58,40
7/17/2022,53,44
7/24/2022,51,39
7/31/2022,54,40
8/7/2022,48,36
8/14/2022,55,39
8/21/2022,49,38
8/28/2022,49,34
9/4/2022,47,34
9/11/2022,44,37
9/18/2022,38,34
9/25/2022,41,34
10/2/2022,40,30
10/9/2022,45,33
10/16/2022,41,32
10/23/2022,42,31
10/30/2022,42,31
11/6/2022,36,30
11/13/2022,42,33
11/20/2022,42,31
11/27/2022,37,28
12/4/2022,35,29
12/11/2022,33,30
